Sitio,Individuos,Nombre,Diametro,Altura (m),Area basal
22,12,Quercus laeta,36.3,18.01,0.103491373
22,13,Pinus teocote,13.1,13.5,0.013478249
22,14,Quercus crassifolia,7.3,3.9,0.004185397
22,15,Pinus teocote,19.4,10.42,0.029559314
22,16,Pinus teocote,59.3,22.46,0.276185125
22,17,Pinus teocote,21.7,16.48,0.036983701
22,18,Quercus crassifolia,5.4,4.25,0.002290226
22,19,Quercus crassifolia,7.4,6.2,0.00430085
22,20,Quercus obtusata,5.1,5.7,0.002042825
22,21,Arbutus tessellata,13.1,5.5,0.013478249
22,22,Prunus serotina,12.3,7.6,0.011882317
22,23,Quercus x dysophylla,9.3,4.7,0.006792925
22,24,Quercus crassipes,15.4,10.59,0.018626546
22,25,Pinus teocote,15.6,16.09,0.019113494
22,26,Pinus teocote,22.5,16.93,0.039760875
23,1,Quercus crassifolia,28.7,18.66,0.064692613
23,2,Pinus teocote,11.8,12.36,0.01093591
23,3,Quercus obtusata,17.9,10.86,0.025165001
23,4,Quercus crassifolia,35.8,17.21,0.100660006
23,5,Pinus teocote,32,18.76,0.08042496
23,6,Pinus teocote,11.7,11.08,0.010751341
23,7,Quercus obtusata,12.8,7.18,0.012867994
23,8,Quercus crassifolia,24,15.58,0.04523904
23,9,Quercus crassifolia,21,12.41,0.03463614
23,10,Quercus crassifolia,25.7,21.44,0.051874885
23,11,Quercus crassifolia,16.9,15.1,0.022431809
23,12,Quercus crassifolia,21.3,10.39,0.035632813
23,13,Quercus crassifolia,6.6,5.5,0.003421202
23,14,Pinus teocote,56.4,25.95,0.249832598
23,15,Quercus crassifolia,27.9,11.06,0.061136321
23,16,Quercus obtusata,18.4,9.73,0.026590502
23,17,Quercus crassifolia,25.4,11.3,0.050670866
23,18,Quercus obtusata,32.7,6.8,0.083982037
24,1,Quercus crassifolia,36.9,16.58,0.106940849
24,2,Juniperus deppeana,5.3,5,0.002206189
24,3,Pinus teocote,12.6,7.8,0.01246901
24,4,Arbutus tessellata,18.1,7,0.025730489
24,5,Arbutus tessellata,9,4.1,0.00636174
24,6,Pinus patula,8.9,7,0.006221153
24,7,Pinus teocote,31.7,17.55,0.078924061
24,8,Pinus teocote,20.5,12.73,0.033006435
24,9,Pinus patula,10.7,7.6,0.008992045
24,10,Arbutus tessellata,16.1,7.2,0.020358353
24,11,Quercus crassifolia,15.1,10.59,0.017907905
24,12,Quercus crassifolia,13.1,11.35,0.013478249
24,13,Pinus patula,32.6,18.36,0.08346917
24,14,Quercus crassifolia,13,11.23,0.01327326
24,15,Quercus crassifolia,10.9,7.5,0.009331337
24,16,Quercus crassifolia,14.3,7.05,0.016060645
24,17,Prunus serotina,5.1,6.5,0.002042825
24,18,Quercus crassifolia,8.4,7.1,0.005541782
24,19,Arbutus tessellata,6.2,4.2,0.003019078
24,20,Arbutus tessellata,7.5,4,0.004417875
24,21,Prunus serotina,11,8.3,0.00950334
24,22,Quercus crassifolia,18.2,10.5,0.02601559
24,23,Prunus serotina,9.9,8.3,0.007697705
24,24,Quercus crassifolia,28.4,11,0.063347222
24,25,Prunus serotina,6.7,6.2,0.003525661
24,26,Pinus patula,9.7,4.2,0.007389829
24,27,Pinus patula,6.7,4.6,0.003525661
25,1,Quercus calophylla,26.9,10.05,0.056832329
25,2,Pinus teocote,21.5,8.9,0.036305115
25,3,Pinus teocote,23.1,10.2,0.041909729
25,4,Pinus teocote,9.1,7,0.006503897
25,5,Buddleja cordata ,25.3,9,0.050272669
25,6,Quercus obtusata,17.6,9.4,0.02432855
25,7,Quercus obtusata,19.1,9.9,0.028652177
25,8,Quercus obtusata,16.7,7.85,0.021904021
25,9,Quercus crassifolia,16.7,9.1,0.021904021
25,10,Quercus obtusata,12.2,7,0.011689894
25,11,Quercus obtusata,21.2,9.8,0.035299018
25,12,Juniperus deppeana,18.7,4.9,0.027464653
25,13,Pinus patula,6.8,7.8,0.00363169
25,14,Quercus crassipes Bonpl. x Quercus calophylla Schltdl. et Cham.,14.5,7.2,0.016513035
25,15,Arbutus xalapensis,15.2,7.8,0.018145882
25,16,Arbutus tessellata,20.5,7.8,0.033006435
25,17,Quercus obtusata,10.8,7.1,0.009160906
25,18,Quercus obtusata,16.5,7.8,0.021382515
25,19,Pinus teocote,32.3,13.05,0.081939997
25,20,Juniperus flaccida,11.5,7,0.010386915
26,1,Quercus calophylla,28.6,13.74,0.064242578
26,2,Prunus serotina,9.1,7.8,0.006503897
26,3,Pinus patula,16.2,10.2,0.020612038
26,4,Quercus crassipes Bonpl. x Quercus calophylla Schltdl. et Cham.,18.5,10.3,0.026880315
26,5,Quercus crassifolia,12.3,10,0.011882317
26,6,Quercus crassifolia,16.1,10,0.020358353
26,7,Quercus obtusata,19.6,10.9,0.030171926
26,8,Arbutus tessellata,18.2,10.3,0.02601559
26,9,Quercus obtusata,9.2,4,0.006647626
26,10,Quercus calophylla,20.2,10,0.032047462
26,11,Quercus obtusata,16.3,10.5,0.020867293
26,12,Quercus obtusata,19.6,10.1,0.030171926
26,13,Arbutus tessellata,19.1,9.5,0.028652177
26,14,Quercus obtusata,7.4,4.5,0.00430085
26,15,Quercus obtusata,12.1,10.2,0.011499041
26,16,Quercus obtusata,27.7,10.4,0.060262957
26,17,Quercus obtusata,14.3,8,0.016060645
26,18,Prunus serotina,9.7,5.2,0.007389829
26,19,Arbutus tessellata,21.2,6,0.035299018
26,20,Buddleja cordata ,14.1,8.5,0.015614537
26,21,Quercus affinis,27.9,11,0.061136321
26,22,Quercus crassifolia,13.2,8.2,0.01368481
26,23,Prunus serotina,11.9,8.8,0.011122049
26,24,Pinus teocote,9.7,7.7,0.007389829
26,25,Arbutus tessellata,18.5,9.1,0.026880315
